Location,Time,Category,Que/Ans,Urgent,High,Verified,Additional,Frequent
"Chippenham, SN14",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I'm ready to hire  Additional details Converting my garage and subsequently extending my kitchen  Additional Details: Converting my garage and subsequently extending my kitchen",1,0,1,1,1
"Rayleigh, Essex",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm ready to hire  Additional details Ready  Additional Details: Ready",0,0,1,1,1
"Rhosgoch, Anglesey",1w ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I'm ready to hire  Additional details Sprinckler system  Additional Details: Sprinckler system",0,0,1,1,0
"Northampton, NN5",3d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details Looking to convert 23ft single garage into a Bedroom with fitted wardrobes and an ensuite.  Additional Details: Looking to convert 23ft single garage into a Bedroom with fitted wardrobes and an ensuite.",1,0,1,1,0
"Belfast, BT16",3d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire",0,0,1,0,0
"Hertford, SG14",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm ready to hire  Additional details Full conversion to separate accommodation  Additional Details: Full conversion to separate accommodation",1,0,1,1,0
"Solihull, B92",5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm ready to hire  Additional details Garage is 12.5x7.5ft Idea (rough) attached Would want a little partition for washer and dryer area (stacked, and pipework all ready)  Additional Details: Garage is 12.5x7.5ft Idea (rough) attached Would want a little partition for washer and dryer area (stacked, and pipework all ready)",0,0,0,1,1
"Glasgow, G13",6d ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Gym and storage  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details Looking to have a garage turned into gym and storage space. Asbestos roof is leaking. Brick walls are cracked, leaking, and crumbling. Concrete floor is crumbling. I want the whole thing water tight and clean and brick walls covered in either plasterboard or something similar. Garage has good door and electricity in place.  Additional Details: Looking to have a garage turned into gym and storage space. Asbestos roof is leaking. Brick walls are cracked, leaking, and crumbling. Concrete floor is crumbling. I want the whole thing water tight and clean and brick walls covered in either plasterboard or something similar. Garage has good door and electricity in place.",1,0,1,1,0
"Walsall, WS5",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bedroom  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm ready to hire  Additional details I want the garage door removed and a window put instead. No flooring or decorating required  Additional Details: I want the garage door removed and a window put instead. No flooring or decorating required",1,0,1,1,1
"Falkirk, FK1",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire",0,0,1,0,1
"Stockport, Borough of Stockport",5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning application made but not determined  How likely are you to make a hiring decision? I'm ready to hire",0,0,1,0,0
Bristol,5d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Kitchen  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details Convert garage, change flat roof to pitch roof, brick up garage and back door to add windows.   Make door into living room  Additional Details: Convert garage, change flat roof to pitch roof, brick up garage and back door to add windows.   Make door into living room",1,0,1,1,1
"West Midlands, ST18",6d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details I want to convert my garage to a Space that I can install my golf simulator equipment. it currently has a ceiling that needs to be removed to allow me the height to effectively use my equipment and install it. There is also lighting which would need to be moved or potentially replaced as this will need to be suspended higher up to avoid any chance of hitting the lights. I don&#039;t think I need any additional plugs etc as I think I can manage with an extension cable because its only powering a projector and laptop so don&#039;t think it needs to be too complicated.  Additional Details: I want to convert my garage to a Space that I can install my golf simulator equipment. it currently has a ceiling that needs to be removed to allow me the height to effectively use my equipment and install it. There is also lighting which would need to be moved or potentially replaced as this will need to be suspended higher up to avoid any chance of hitting the lights. I don&#039;t think I need any additional plugs etc as I think I can manage with an extension cable because its only powering a projector and laptop so don&#039;t think it needs to be too complicated.",1,0,1,1,0
"Castle Donington, Leicestershire",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Games room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details Single garage. Needs boarding, plastering, electricity, flooring and potentially French doors replacing the garage door  Additional Details: Single garage. Needs boarding, plastering, electricity, flooring and potentially French doors replacing the garage door",1,0,1,1,1
